Date,Adj Close
2021-01-04,125.74083709716797
2021-01-05,127.29547882080078
2021-01-06,123.0105209350586
2021-01-07,127.2080307006836
2021-01-08,128.3059844970703
2021-01-11,125.3230209350586
2021-01-12,125.14815521240234
2021-01-13,127.17890930175781
2021-01-14,125.25503540039062
2021-01-15,123.53520965576172
2021-01-19,124.20565032958984
2021-01-20,128.2865447998047
2021-01-21,132.9893035888672
2021-01-22,135.12696838378906
2021-01-25,138.86776733398438
2021-01-26,139.1009521484375
2021-01-27,138.0321502685547
2021-01-28,133.20310974121094
2021-01-29,128.21856689453125
2021-02-01,130.3367919921875
2021-02-02,131.16265869140625
2021-02-03,130.14242553710938
2021-02-04,133.4945831298828
2021-02-05,133.08102416992188
2021-02-08,133.22698974609375
2021-02-09,132.35116577148438
2021-02-10,131.74789428710938
2021-02-11,131.49484252929688
2021-02-12,131.72842407226562
2021-02-16,129.60702514648438
2021-02-17,127.32025146484375
2021-02-18,126.22068786621094
2021-02-19,126.37640380859375
2021-02-22,122.61048126220703
2021-02-23,122.47423553466797
2021-02-24,121.97795104980469
2021-02-25,117.73526000976562
2021-02-26,117.99797821044922
2021-03-01,124.3523178100586
2021-03-02,121.75416564941406
2021-03-03,118.77645874023438
2021-03-04,116.89839172363281
2021-03-05,118.15367889404297
2021-03-08,113.22980499267578
2021-03-09,117.83255004882812
2021-03-10,116.75241088867188
2021-03-11,118.67914581298828
2021-03-12,117.77417755126953
2021-03-15,120.65454864501953
2021-03-16,122.19206237792969
2021-03-17,121.4038314819336
2021-03-18,117.28762817382812
2021-03-19,116.76215362548828
2021-03-22,120.0706787109375
2021-03-23,119.2435531616211
2021-03-24,116.85944366455078
2021-03-25,117.34600830078125
2021-03-26,117.94933319091797
2021-03-29,118.12447357177734
2021-03-30,116.67459106445312
2021-03-31,118.86404418945312
2021-04-01,119.69116973876953
2021-04-05,122.51314544677734
2021-04-06,122.8148193359375
2021-04-07,124.4593734741211
2021-04-08,126.8531723022461
2021-04-09,129.42218017578125
2021-04-12,127.70951080322266
2021-04-13,130.81365966796875
2021-04-14,128.47825622558594
2021-04-15,130.88180541992188
2021-04-16,130.5509490966797
2021-04-19,131.21266174316406
2021-04-20,129.5292510986328
2021-04-21,129.9087371826172
2021-04-22,128.39065551757812
2021-04-23,130.7066650390625
2021-04-26,131.09591674804688
2021-04-27,130.77481079101562
2021-04-28,129.98658752441406
2021-04-29,129.8892364501953
2021-04-30,127.92362213134766
2021-05-03,128.9745635986328
2021-05-04,124.41071319580078
2021-05-05,124.65399932861328
2021-05-06,126.24989318847656
2021-05-07,126.92243957519531
2021-05-10,123.64728546142578
2021-05-11,122.73101806640625
2021-05-12,119.67028045654297
2021-05-13,121.81475067138672
2021-05-14,124.23212432861328
2021-05-17,123.08191680908203
2021-05-18,121.6977767944336
2021-05-19,121.54180145263672
2021-05-20,124.09565734863281
2021-05-21,122.26314544677734
2021-05-24,123.89095306396484
2021-05-25,123.69600677490234
2021-05-26,123.64728546142578
2021-05-27,122.1169204711914
2021-05-28,121.46383666992188
2021-06-01,121.14215850830078
2021-06-02,121.9024658203125
2021-06-03,120.42086029052734
2021-06-04,122.71151733398438
2021-06-07,122.72123718261719
2021-06-08,123.54004669189453
2021-06-09,123.92021179199219
2021-06-10,122.92596435546875
2021-06-11,124.13465118408203
2021-06-14,127.18560791015625
2021-06-15,126.36682891845703
2021-06-16,126.86397552490234
2021-06-17,128.46255493164062
2021-06-18,127.16614532470703
2021-06-21,128.95968627929688
2021-06-22,130.59727478027344
2021-06-23,130.3243408203125
2021-06-24,130.04168701171875
2021-06-25,129.74925231933594
2021-06-28,131.3770751953125
2021-06-29,132.887939453125
2021-06-30,133.50201416015625
2021-07-01,133.80421447753906
2021-07-02,136.42628479003906
2021-07-06,138.4342803955078
2021-07-07,140.9198760986328
2021-07-08,139.6234893798828
2021-07-09,141.44627380371094
2021-07-12,140.85166931152344
2021-07-13,141.9628448486328
2021-07-14,145.38426208496094
2021-07-15,144.73117065429688
2021-07-16,142.6939239501953
2021-07-19,138.85337829589844
2021-07-20,142.4600067138672
2021-07-21,141.7289276123047
2021-07-22,143.0935821533203
2021-07-23,144.80911254882812
2021-07-26,145.22828674316406
2021-07-27,143.0643310546875
2021-07-28,141.3195343017578
2021-07-29,141.9628448486328
2021-07-30,142.17730712890625
2021-08-02,141.8459014892578
2021-08-03,143.63943481445312
2021-08-04,143.2397918701172
2021-08-05,143.3470001220703
2021-08-06,142.66368103027344
2021-08-09,142.61489868164062
2021-08-10,142.1365203857422
2021-08-11,142.39035034179688
2021-08-12,145.3482208251953
2021-08-13,145.55325317382812
2021-08-16,147.5251922607422
2021-08-17,146.6173553466797
2021-08-18,142.87841796875
2021-08-19,143.21034240722656
2021-08-20,144.6649169921875
2021-08-23,146.14871215820312
2021-08-24,146.0608673095703
2021-08-25,144.8308563232422
2021-08-26,144.0303497314453
2021-08-27,145.06517028808594
2021-08-30,149.4776611328125
2021-08-31,148.21835327148438
2021-09-01,148.88214111328125
2021-09-02,149.99501037597656
2021-09-03,150.6295623779297
2021-09-07,152.9626922607422
2021-09-08,151.4202880859375
2021-09-09,150.4050750732422
2021-09-10,145.42636108398438
2021-09-13,145.99253845214844
2021-09-14,144.59657287597656
2021-09-15,145.48492431640625
2021-09-16,145.25062561035156
2021-09-17,142.5855712890625
2021-09-20,139.53982543945312
2021-09-21,140.01815795898438
2021-09-22,142.38058471679688
2021-09-23,143.3372802734375
2021-09-24,143.4251251220703
2021-09-27,141.91195678710938
2021-09-28,138.53431701660156
2021-09-29,139.43243408203125
2021-09-30,138.13404846191406
2021-10-01,139.2567138671875
2021-10-04,135.83021545410156
2021-10-05,137.75335693359375
2021-10-06,138.62216186523438
2021-10-07,139.88145446777344
2021-10-08,139.50074768066406
2021-10-11,139.41287231445312
2021-10-12,138.14378356933594
2021-10-13,137.55810546875
2021-10-14,140.34030151367188
2021-10-15,141.3945770263672
2021-10-18,143.0638885498047
2021-10-19,145.2213592529297
2021-10-20,145.70945739746094
2021-10-21,145.92422485351562
2021-10-22,145.15298461914062
2021-10-25,145.1041717529297
2021-10-26,145.7680206298828
2021-10-27,145.30918884277344
2021-10-28,148.94073486328125
2021-10-29,146.2366180419922
2021-11-01,145.41659545898438
2021-11-02,146.4513702392578
2021-11-03,147.88641357421875
2021-11-04,147.3690185546875
2021-11-05,147.89691162109375
2021-11-08,147.0757293701172
2021-11-09,147.4374542236328
2021-11-10,144.61204528808594
2021-11-11,144.5631866455078
2021-11-12,146.63577270507812
2021-11-15,146.6455535888672
2021-11-16,147.62319946289062
2021-11-17,150.05751037597656
2021-11-18,154.33956909179688
2021-11-19,156.95962524414062
2021-11-22,157.4191436767578
2021-11-23,157.80039978027344
2021-11-24,158.31857299804688
2021-11-26,153.30323791503906
2021-11-29,156.6565704345703
2021-11-30,161.60340881347656
2021-12-01,161.08526611328125
2021-12-02,160.09783935546875
2021-12-03,158.22079467773438
2021-12-06,161.6230010986328
2021-12-07,167.3519287109375
2021-12-08,171.1647186279297
2021-12-09,170.65634155273438
2021-12-10,175.4369659423828
2021-12-13,171.8099822998047
2021-12-14,170.43145751953125
2021-12-15,175.2903289794922
2021-12-16,168.40774536132812
2021-12-17,167.3128204345703
2021-12-20,165.953857421875
2021-12-21,169.12142944335938
2021-12-22,171.7122039794922
2021-12-23,172.33786010742188
2021-12-27,176.29730224609375
2021-12-28,175.280517578125
2021-12-29,175.36854553222656
2021-12-30,174.21490478515625
2021-12-31,173.59901428222656
2022-01-03,177.93975830078125
2022-01-04,175.68141174316406
2022-01-05,171.00828552246094
2022-01-06,168.15354919433594
2022-01-07,168.3197479248047
2022-01-10,168.3393096923828
2022-01-11,171.1647186279297
2022-01-12,171.60464477539062
2022-01-13,168.3393096923828
2022-01-14,169.19964599609375
2022-01-18,166.0027618408203
2022-01-19,162.5125732421875
2022-01-20,160.83103942871094
2022-01-21,158.77804565429688
2022-01-24,158.00572204589844
2022-01-25,156.2068328857422
2022-01-26,156.11891174316406
2022-01-27,155.6593780517578
2022-01-28,166.5209503173828
2022-01-31,170.87142944335938
2022-02-01,170.70518493652344
2022-02-02,171.90769958496094
2022-02-03,169.03343200683594
2022-02-04,168.74957275390625
2022-02-07,168.0349884033203
2022-02-08,171.1380157470703
2022-02-09,172.55743408203125
2022-02-10,168.48529052734375
2022-02-11,165.0787811279297
2022-02-14,165.313720703125
2022-02-15,169.14112854003906
2022-02-16,168.9061737060547
2022-02-17,165.313720703125
2022-02-18,163.76705932617188
2022-02-22,160.8500213623047
2022-02-23,156.68971252441406
2022-02-24,159.3033905029297
2022-02-25,161.36880493164062
2022-02-28,161.63308715820312
2022-03-01,159.7536163330078
2022-03-02,163.0426788330078
2022-03-03,162.7196502685547
2022-03-04,159.72427368164062
2022-03-07,155.93600463867188
2022-03-08,154.1153106689453
2022-03-09,159.50888061523438
2022-03-10,155.17250061035156
2022-03-11,151.4625244140625
2022-03-14,147.43930053710938
2022-03-15,151.8148956298828
2022-03-16,156.2199249267578
2022-03-17,157.2281494140625
2022-03-18,160.51719665527344
2022-03-21,161.88760375976562
2022-03-22,165.25497436523438
2022-03-23,166.61563110351562
2022-03-24,170.3941192626953
2022-03-25,171.03038024902344
2022-03-28,171.8917999267578
2022-03-29,175.1808319091797
2022-03-30,174.01596069335938
2022-03-31,170.92271423339844
2022-04-01,170.62904357910156
2022-04-04,174.6718292236328
2022-04-05,171.3632049560547
2022-04-06,168.20140075683594
2022-04-07,168.50485229492188
2022-04-08,166.49813842773438
2022-04-11,162.2498016357422
2022-04-12,164.11949157714844
2022-04-13,166.80160522460938
2022-04-14,161.7994842529297
2022-04-18,161.5841827392578
2022-04-19,163.8649139404297
2022-04-20,163.6985321044922
2022-04-21,162.90567016601562
2022-04-22,158.3734130859375
2022-04-25,159.44041442871094
2022-04-26,153.4888153076172
2022-04-27,153.263671875
2022-04-28,160.18438720703125
2022-04-29,154.32083129882812
2022-05-02,154.6243133544922
2022-05-03,156.11221313476562
2022-05-04,162.5141143798828
2022-05-05,153.4594268798828
2022-05-06,154.1848602294922
2022-05-09,149.0675506591797
2022-05-10,151.46939086914062
2022-05-11,143.61703491210938
2022-05-12,139.75454711914062
2022-05-13,144.2150115966797
2022-05-16,142.6759033203125
2022-05-17,146.30308532714844
2022-05-18,138.04881286621094
2022-05-19,134.6470947265625
2022-05-20,134.88233947753906
2022-05-23,140.29376220703125
2022-05-24,137.59783935546875
2022-05-25,137.7546844482422
2022-05-26,140.9505615234375
2022-05-27,146.69517517089844
2022-05-31,145.91094970703125
2022-06-01,145.7835235595703
2022-06-02,148.2342987060547
2022-06-03,142.51907348632812
2022-06-06,143.2640838623047
2022-06-07,145.7835235595703
2022-06-08,145.0482940673828
2022-06-09,139.83297729492188
2022-06-10,134.431396484375
2022-06-13,129.2847442626953
2022-06-14,130.14739990234375
2022-06-15,132.76486206054688
2022-06-16,127.50050354003906
2022-06-17,128.97105407714844
2022-06-21,133.19618225097656
2022-06-22,132.68646240234375
2022-06-23,135.54896545410156
2022-06-24,138.8722686767578
2022-06-27,138.8722686767578
2022-06-28,134.7352752685547
2022-06-29,136.49008178710938
2022-06-30,134.0294647216797
2022-07-01,136.19598388671875
2022-07-05,138.774169921875
2022-07-06,140.107421875
2022-07-07,143.469970703125
2022-07-08,144.14639282226562
2022-07-11,142.01907348632812
2022-07-12,142.98959350585938
2022-07-13,142.62689208984375
2022-07-14,145.5482635498047
2022-07-15,147.21478271484375
2022-07-18,144.17579650878906
2022-07-19,148.02845764160156
2022-07-20,150.02828979492188
2022-07-21,152.2928466796875
2022-07-22,151.05763244628906
2022-07-25,149.94007873535156
2022-07-26,148.61666870117188
2022-07-27,153.70449829101562
2022-07-28,154.25347900390625
2022-07-29,159.3119354248047
2022-08-01,158.3316192626953
2022-08-02,156.8611602783203
2022-08-03,162.8607177734375
2022-08-04,162.54702758789062
2022-08-05,162.32118225097656
2022-08-08,161.8499755859375
2022-08-09,161.89910888671875
2022-08-10,166.1399688720703
2022-08-11,165.40371704101562
2022-08-12,168.9475860595703
2022-08-15,170.0176239013672
2022-08-16,169.86056518554688
2022-08-17,171.35267639160156
2022-08-18,170.9600067138672
2022-08-19,168.37820434570312
2022-08-22,164.5005645751953
2022-08-23,164.1667938232422
2022-08-24,164.46128845214844
2022-08-25,166.91546630859375
2022-08-26,160.6229248046875
2022-08-29,158.4239501953125
2022-08-30,155.9992218017578
2022-08-31,154.34014892578125
2022-09-01,155.06658935546875
2022-09-02,152.95596313476562
2022-09-06,151.69943237304688
2022-09-07,153.10324096679688
2022-09-08,151.63070678710938
2022-09-09,154.48739624023438
2022-09-12,160.4363555908203
2022-09-13,151.02203369140625
2022-09-14,152.46514892578125
2022-09-15,149.57896423339844
2022-09-16,147.9395751953125
2022-09-19,151.65029907226562
2022-09-20,154.02601623535156
2022-09-21,150.9042510986328
2022-09-22,149.94219970703125
2022-09-23,147.67453002929688
2022-09-26,148.00828552246094
2022-09-27,148.9801788330078
2022-09-28,147.0953369140625
2022-09-29,139.8701171875
2022-09-30,135.6685333251953
2022-10-03,139.8406524658203
